text,label
"Where can I report bugs or suggestions?",question
"Why does it say ‘invalid token’ during login?",technical_issue
"Massive improvement over last year’s version!",praise
"Please allow toggling between monthly/yearly billing.",feature_request
"I keep getting irrelevant notifications.",complaint
"Can you explain how your pricing tiers work?",question
"The browser version of the app is broken.",technical_issue
"Super impressed with the new mobile UI.",praise
"I want to be able to tag feedback items.",feature_request
"Very unprofessional support team response.",complaint
"Is there any training provided for new users?",question
"Settings reset every time I close the browser.",technical_issue
"Great job on keeping performance smooth!",praise
"Please enable collaboration with external users.",feature_request
"Still haven’t heard back from technical support.",complaint
"How do I integrate this with Slack?",question
"The notifications are not syncing across devices.",technical_issue
"Nice touch with the recent design refresh!",praise
"Allow users to prioritize their feedback in-app.",feature_request
"Your app doesn't work on Android 13.",technical_issue
"Super responsive to customer feedback!",praise
"Can we get a Kanban-style board for tasks?",feature_request
"No confirmation email for password reset.",complaint
"Can I access my data after canceling?",question
"My attachments don’t upload correctly.",technical_issue
"Brilliant improvements in usability lately!",praise
"I’d like to reorder dashboard widgets.",feature_request
"Why are your response times so inconsistent?",complaint
"Where is your team located?",question
"Your login process needs more flexibility.",technical_issue
"Your product really helped my small business!",praise
"Please provide public API documentation.",feature_request
"My data was wiped after reinstalling the app.",complaint
"Do you offer a sandbox environment?",question
"I can’t upload CSV files anymore.",technical_issue
"I love how the app saves my place automatically!",praise
"Can we get email templates for replies?",feature_request
"Support redirected me multiple times with no help.",complaint
"Where can I find the FAQ section?",question
"My notifications are delayed by hours.",technical_issue
"Fantastic design and UX. Congrats!",praise
"Allow auto-categorizing based on keywords.",feature_request
"My free trial ended without warning.",complaint
"Can I recover deleted feedback items?",question
"Auto-save doesn’t seem to work consistently.",technical_issue
"App navigation is much simpler now. Love it!",praise
"Let us customize our login screen branding.",feature_request
"Your escalation process takes too long.",complaint
"How can I contact your team directly?",question
